track name="1000G,CEPH,WP" description="Data: 1000 Genomes Project phase 1 release 3; Population: CEPH; D' CI method: WP; High LD SNPs proportion: 95%" itemRgb="on"
chr8	141754451	141933729	BLOCK_0000001	0	+	0	0	221,136,136
chr8	67627479	67795497	BLOCK_0000002	0	+	0	0	215,158,158
chr8	68002682	68164638	BLOCK_0000003	0	+	0	0	226,113,113
chr8	104889530	105043561	BLOCK_0000004	0	+	0	0	221,136,136
chr8	112116886	112259975	BLOCK_0000005	0	+	0	0	215,158,158
chr8	104658781	104798282	BLOCK_0000006	0	+	0	0	221,136,136
chr8	112967619	113099630	BLOCK_0000007	0	+	0	0	232,90,90
chr8	92976563	93106039	BLOCK_0000008	0	+	0	0	232,90,90
chr8	54625578	54753508	BLOCK_0000009	0	+	0	0	226,113,113
chr8	110218096	110344596	BLOCK_0000010	0	+	0	0	232,90,90
chr8	50113431	50238275	BLOCK_0000011	0	+	0	0	215,158,158
chr8	111813630	111935796	BLOCK_0000012	0	+	0	0	232,90,90
chr8	127187382	127304509	BLOCK_0000013	0	+	0	0	221,136,136
chr8	39022522	39136231	BLOCK_0000014	0	+	0	0	232,90,90
chr8	113270466	113381959	BLOCK_0000015	0	+	0	0	232,90,90
chr8	113700176	113809945	BLOCK_0000016	0	+	0	0	232,90,90
chr8	92562944	92670079	BLOCK_0000017	0	+	0	0	238,68,68
chr8	50421090	50524158	BLOCK_0000018	0	+	0	0	232,90,90
chr8	104482749	104585530	BLOCK_0000019	0	+	0	0	232,90,90
chr8	33066994	33167859	BLOCK_0000020	0	+	0	0	226,113,113
chr8	79079232	79180014	BLOCK_0000021	0	+	0	0	232,90,90
chr8	89403161	89501183	BLOCK_0000022	0	+	0	0	238,68,68
chr8	78658089	78755338	BLOCK_0000023	0	+	0	0	226,113,113
chr8	65614426	65711004	BLOCK_0000024	0	+	0	0	238,68,68
chr8	81614546	81707579	BLOCK_0000025	0	+	0	0	238,68,68
chr8	119980069	120071898	BLOCK_0000026	0	+	0	0	238,68,68
chr8	71221881	71313497	BLOCK_0000027	0	+	0	0	238,68,68
chr8	100697293	100788664	BLOCK_0000028	0	+	0	0	232,90,90
chr8	137714379	137803849	BLOCK_0000029	0	+	0	0	232,90,90
chr8	94712460	94801725	BLOCK_0000030	0	+	0	0	238,68,68
chr8	71834534	71922097	BLOCK_0000031	0	+	0	0	232,90,90
chr8	101232701	101319996	BLOCK_0000032	0	+	0	0	238,68,68
chr8	78411695	78497950	BLOCK_0000033	0	+	0	0	232,90,90
chr8	34422967	34509139	BLOCK_0000034	0	+	0	0	232,90,90
chr8	28352242	28437614	BLOCK_0000035	0	+	0	0	238,68,68
chr8	121423321	121508150	BLOCK_0000036	0	+	0	0	238,68,68
chr8	61461482	61546280	BLOCK_0000037	0	+	0	0	232,90,90
chr8	51039712	51122489	BLOCK_0000038	0	+	0	0	232,90,90
chr8	67031642	67114347	BLOCK_0000039	0	+	0	0	238,68,68
chr8	27607934	27690557	BLOCK_0000040	0	+	0	0	232,90,90
chr8	123207541	123289423	BLOCK_0000041	0	+	0	0	238,68,68
chr8	99906778	99988454	BLOCK_0000042	0	+	0	0	238,68,68
chr8	55524638	55606093	BLOCK_0000043	0	+	0	0	232,90,90
chr8	82704828	82786048	BLOCK_0000044	0	+	0	0	232,90,90
chr8	75592440	75672527	BLOCK_0000045	0	+	0	0	238,68,68
chr8	133803750	133883215	BLOCK_0000046	0	+	0	0	238,68,68
chr8	85634971	85714087	BLOCK_0000047	0	+	0	0	238,68,68
chr8	116515429	116594138	BLOCK_0000048	0	+	0	0	232,90,90
chr8	81528112	81606258	BLOCK_0000049	0	+	0	0	238,68,68
chr8	50954754	51030877	BLOCK_0000050	0	+	0	0	243,45,45
chr8	114132095	114207534	BLOCK_0000051	0	+	0	0	238,68,68
chr8	92407159	92481723	BLOCK_0000052	0	+	0	0	243,45,45
chr8	107411705	107486045	BLOCK_0000053	0	+	0	0	243,45,45
