track name="1000G,CEPH,WP" description="Data: 1000 Genomes Project phase 1 release 3; Population: CEPH; D' CI method: WP; High LD SNPs proportion: 95%" itemRgb="on"
chr7	119300386	119565161	BLOCK_0000001	0	+	0	0	215,158,158
chr7	91557425	91781380	BLOCK_0000002	0	+	0	0	209,181,181
chr7	114147797	114290213	BLOCK_0000003	0	+	0	0	226,113,113
chr7	145450088	145587829	BLOCK_0000004	0	+	0	0	215,158,158
chr7	140482427	140614655	BLOCK_0000005	0	+	0	0	226,113,113
chr7	108540638	108668310	BLOCK_0000006	0	+	0	0	209,181,181
chr7	126185900	126312135	BLOCK_0000007	0	+	0	0	221,136,136
chr7	79481601	79601857	BLOCK_0000008	0	+	0	0	226,113,113
chr7	85637227	85752740	BLOCK_0000009	0	+	0	0	232,90,90
chr7	44389625	44502415	BLOCK_0000010	0	+	0	0	232,90,90
chr7	86470488	86582891	BLOCK_0000011	0	+	0	0	232,90,90
chr7	143776218	143884103	BLOCK_0000012	0	+	0	0	226,113,113
chr7	117739974	117846782	BLOCK_0000013	0	+	0	0	238,68,68
chr7	133814659	133920149	BLOCK_0000014	0	+	0	0	226,113,113
chr7	87862009	87965151	BLOCK_0000015	0	+	0	0	232,90,90
chr7	130154503	130256146	BLOCK_0000016	0	+	0	0	255,0,0
chr7	89154348	89255499	BLOCK_0000017	0	+	0	0	226,113,113
chr7	49894349	49992244	BLOCK_0000018	0	+	0	0	226,113,113
chr7	86759701	86857091	BLOCK_0000019	0	+	0	0	238,68,68
chr7	98518713	98615688	BLOCK_0000020	0	+	0	0	226,113,113
chr7	108383178	108476746	BLOCK_0000021	0	+	0	0	226,113,113
chr7	118476515	118568441	BLOCK_0000022	0	+	0	0	238,68,68
chr7	118725970	118816791	BLOCK_0000023	0	+	0	0	243,45,45
chr7	138903994	138994388	BLOCK_0000024	0	+	0	0	238,68,68
chr7	126544242	126634070	BLOCK_0000025	0	+	0	0	238,68,68
chr7	124518172	124607549	BLOCK_0000026	0	+	0	0	232,90,90
chr7	24624375	24713107	BLOCK_0000027	0	+	0	0	232,90,90
chr7	124410577	124498707	BLOCK_0000028	0	+	0	0	232,90,90
chr7	119977971	120065473	BLOCK_0000029	0	+	0	0	243,45,45
chr7	118365355	118451866	BLOCK_0000030	0	+	0	0	238,68,68
chr7	110532851	110618415	BLOCK_0000031	0	+	0	0	238,68,68
chr7	78868414	78952979	BLOCK_0000032	0	+	0	0	238,68,68
chr7	49533093	49616420	BLOCK_0000033	0	+	0	0	221,136,136
chr7	26936195	27018292	BLOCK_0000034	0	+	0	0	238,68,68
chr7	18467222	18548719	BLOCK_0000035	0	+	0	0	238,68,68
chr7	156954488	157035827	BLOCK_0000036	0	+	0	0	232,90,90
chr7	72908836	72989390	BLOCK_0000037	0	+	0	0	238,68,68
chr7	92063954	92144330	BLOCK_0000038	0	+	0	0	243,45,45
chr7	84422259	84501997	BLOCK_0000039	0	+	0	0	232,90,90
chr7	42536761	42615429	BLOCK_0000040	0	+	0	0	232,90,90
chr7	84233382	84311765	BLOCK_0000041	0	+	0	0	232,90,90
