track name="1000G,CEPH,WP" description="Data: 1000 Genomes Project phase 1 release 3; Population: CEPH; D' CI method: WP; High LD SNPs proportion: 95%" itemRgb="on"
chr6	145818075	145982939	BLOCK_0000001	0	+	0	0	226,113,113
chr6	64949661	65100460	BLOCK_0000002	0	+	0	0	209,181,181
chr6	62958384	63093666	BLOCK_0000003	0	+	0	0	221,136,136
chr6	28042465	28175549	BLOCK_0000004	0	+	0	0	232,90,90
chr6	119169826	119290975	BLOCK_0000005	0	+	0	0	221,136,136
chr6	34245035	34363334	BLOCK_0000006	0	+	0	0	226,113,113
chr6	122070613	122188198	BLOCK_0000007	0	+	0	0	232,90,90
chr6	141290826	141406704	BLOCK_0000008	0	+	0	0	232,90,90
chr6	48542061	48655987	BLOCK_0000009	0	+	0	0	226,113,113
chr6	77113304	77226819	BLOCK_0000010	0	+	0	0	226,113,113
chr6	76513415	76626756	BLOCK_0000011	0	+	0	0	232,90,90
chr6	71114669	71226350	BLOCK_0000012	0	+	0	0	232,90,90
chr6	111022135	111131737	BLOCK_0000013	0	+	0	0	238,68,68
chr6	136658140	136767530	BLOCK_0000014	0	+	0	0	226,113,113
chr6	89426977	89536109	BLOCK_0000015	0	+	0	0	232,90,90
chr6	8437289	8546004	BLOCK_0000016	0	+	0	0	209,181,181
chr6	109653825	109761437	BLOCK_0000017	0	+	0	0	232,90,90
chr6	48144410	48251117	BLOCK_0000018	0	+	0	0	232,90,90
chr6	48400703	48506654	BLOCK_0000019	0	+	0	0	221,136,136
chr6	81662615	81767231	BLOCK_0000020	0	+	0	0	226,113,113
chr6	103041277	103144193	BLOCK_0000021	0	+	0	0	232,90,90
chr6	76927353	77026473	BLOCK_0000022	0	+	0	0	221,136,136
chr6	49959056	50058032	BLOCK_0000023	0	+	0	0	232,90,90
chr6	35787417	35883941	BLOCK_0000024	0	+	0	0	232,90,90
chr6	102891638	102987637	BLOCK_0000025	0	+	0	0	232,90,90
chr6	69868027	69962838	BLOCK_0000026	0	+	0	0	232,90,90
chr6	68595285	68689373	BLOCK_0000027	0	+	0	0	238,68,68
chr6	84538129	84631961	BLOCK_0000028	0	+	0	0	238,68,68
chr6	26581258	26674717	BLOCK_0000029	0	+	0	0	232,90,90
chr6	70379937	70471328	BLOCK_0000030	0	+	0	0	238,68,68
chr6	119947390	120038197	BLOCK_0000031	0	+	0	0	238,68,68
chr6	46302448	46392154	BLOCK_0000032	0	+	0	0	238,68,68
chr6	68143146	68232168	BLOCK_0000033	0	+	0	0	238,68,68
chr6	122423906	122512179	BLOCK_0000034	0	+	0	0	238,68,68
chr6	84025802	84113685	BLOCK_0000035	0	+	0	0	232,90,90
chr6	141468671	141556188	BLOCK_0000036	0	+	0	0	226,113,113
chr6	133999756	134087068	BLOCK_0000037	0	+	0	0	238,68,68
chr6	127118646	127205732	BLOCK_0000038	0	+	0	0	221,136,136
chr6	56808844	56893879	BLOCK_0000039	0	+	0	0	232,90,90
chr6	120382762	120467669	BLOCK_0000040	0	+	0	0	243,45,45
chr6	50512750	50597452	BLOCK_0000041	0	+	0	0	238,68,68
chr6	53974804	54059217	BLOCK_0000042	0	+	0	0	232,90,90
chr6	128602090	128686182	BLOCK_0000043	0	+	0	0	238,68,68
chr6	127590829	127674662	BLOCK_0000044	0	+	0	0	238,68,68
chr6	135296963	135379148	BLOCK_0000045	0	+	0	0	232,90,90
chr6	115769306	115851080	BLOCK_0000046	0	+	0	0	238,68,68
chr6	72925692	73007347	BLOCK_0000047	0	+	0	0	232,90,90
chr6	38054213	38133764	BLOCK_0000048	0	+	0	0	232,90,90
chr6	80693816	80773250	BLOCK_0000049	0	+	0	0	238,68,68
chr6	140485178	140564519	BLOCK_0000050	0	+	0	0	243,45,45
chr6	49259693	49338744	BLOCK_0000051	0	+	0	0	238,68,68
chr6	77691502	77770534	BLOCK_0000052	0	+	0	0	232,90,90
chr6	53662056	53740388	BLOCK_0000053	0	+	0	0	232,90,90
chr6	47499816	47577064	BLOCK_0000054	0	+	0	0	238,68,68
chr6	28328683	28405796	BLOCK_0000055	0	+	0	0	243,45,45
chr6	75357310	75434124	BLOCK_0000056	0	+	0	0	232,90,90
chr6	149810047	149886151	BLOCK_0000057	0	+	0	0	238,68,68
chr6	5165131	5241179	BLOCK_0000058	0	+	0	0	243,45,45
chr6	82870823	82946279	BLOCK_0000059	0	+	0	0	238,68,68
chr6	126919970	126995044	BLOCK_0000060	0	+	0	0	243,45,45
chr6	122594827	122669832	BLOCK_0000061	0	+	0	0	238,68,68
chr6	36418237	36492824	BLOCK_0000062	0	+	0	0	238,68,68
chr6	41047022	41121097	BLOCK_0000063	0	+	0	0	243,45,45
chr6	150108751	150182629	BLOCK_0000064	0	+	0	0	232,90,90
chr6	146362945	146436550	BLOCK_0000065	0	+	0	0	238,68,68
chr6	121405185	121478775	BLOCK_0000066	0	+	0	0	243,45,45
chr6	87411398	87484941	BLOCK_0000067	0	+	0	0	226,113,113
chr6	88103974	88177297	BLOCK_0000068	0	+	0	0	232,90,90
chr6	74973063	75046076	BLOCK_0000069	0	+	0	0	238,68,68
chr6	115581453	115654442	BLOCK_0000070	0	+	0	0	238,68,68
chr6	106668839	106741694	BLOCK_0000071	0	+	0	0	243,45,45
chr6	118841558	118913845	BLOCK_0000072	0	+	0	0	238,68,68
chr6	80862213	80934301	BLOCK_0000073	0	+	0	0	243,45,45
chr6	65245856	65317903	BLOCK_0000074	0	+	0	0	232,90,90
chr6	64382624	64454443	BLOCK_0000075	0	+	0	0	243,45,45
chr6	8606879	8678571	BLOCK_0000076	0	+	0	0	232,90,90
chr6	62283713	62355254	BLOCK_0000077	0	+	0	0	226,113,113
chr6	150011286	150082712	BLOCK_0000078	0	+	0	0	238,68,68
chr6	117289765	117361125	BLOCK_0000079	0	+	0	0	243,45,45
chr6	141811185	141882519	BLOCK_0000080	0	+	0	0	238,68,68
chr6	112374944	112446116	BLOCK_0000081	0	+	0	0	238,68,68
chr6	30236331	30307020	BLOCK_0000082	0	+	0	0	249,22,22
