track name="1000G,CEPH,WP" description="Data: 1000 Genomes Project phase 1 release 3; Population: CEPH; D' CI method: WP; High LD SNPs proportion: 95%" itemRgb="on"
chr9	95045449	95173814	BLOCK_0000001	0	+	0	0	226,113,113
chr9	125428755	125541416	BLOCK_0000002	0	+	0	0	221,136,136
chr9	37071066	37183628	BLOCK_0000003	0	+	0	0	226,113,113
chr9	102906253	103011587	BLOCK_0000004	0	+	0	0	232,90,90
chr9	84892263	84997130	BLOCK_0000005	0	+	0	0	238,68,68
chr9	116255225	116356373	BLOCK_0000006	0	+	0	0	232,90,90
chr9	95180375	95278635	BLOCK_0000007	0	+	0	0	238,68,68
chr9	88145767	88240510	BLOCK_0000008	0	+	0	0	238,68,68
chr9	76814001	76908691	BLOCK_0000009	0	+	0	0	221,136,136
chr9	123525175	123616858	BLOCK_0000010	0	+	0	0	232,90,90
chr9	98644236	98734891	BLOCK_0000011	0	+	0	0	238,68,68
chr9	21283654	21371528	BLOCK_0000012	0	+	0	0	232,90,90
chr9	118754226	118841596	BLOCK_0000013	0	+	0	0	238,68,68
chr9	75325820	75412736	BLOCK_0000014	0	+	0	0	243,45,45
chr9	91778661	91863449	BLOCK_0000015	0	+	0	0	238,68,68
chr9	124189508	124273207	BLOCK_0000016	0	+	0	0	238,68,68
chr9	103058931	103142462	BLOCK_0000017	0	+	0	0	232,90,90
chr9	100049369	100131843	BLOCK_0000018	0	+	0	0	238,68,68
chr9	5122291	5204705	BLOCK_0000019	0	+	0	0	238,68,68
chr9	31968163	32050363	BLOCK_0000020	0	+	0	0	232,90,90
chr9	86336239	86417451	BLOCK_0000021	0	+	0	0	232,90,90
chr9	114442664	114522994	BLOCK_0000022	0	+	0	0	238,68,68
chr9	17330558	17409888	BLOCK_0000023	0	+	0	0	232,90,90
chr9	127343524	127422179	BLOCK_0000024	0	+	0	0	243,45,45
chr9	139736457	139815053	BLOCK_0000025	0	+	0	0	226,113,113
chr9	76471602	76549916	BLOCK_0000026	0	+	0	0	238,68,68
chr9	95449068	95526685	BLOCK_0000027	0	+	0	0	238,68,68
chr9	134886837	134963917	BLOCK_0000028	0	+	0	0	238,68,68
chr9	77875213	77951951	BLOCK_0000029	0	+	0	0	238,68,68
chr9	33863671	33939555	BLOCK_0000030	0	+	0	0	232,90,90
chr9	107994364	108070151	BLOCK_0000031	0	+	0	0	238,68,68
chr9	127109234	127183560	BLOCK_0000032	0	+	0	0	238,68,68
chr9	80381707	80455316	BLOCK_0000033	0	+	0	0	238,68,68
chr9	15951855	16024386	BLOCK_0000034	0	+	0	0	232,90,90
chr9	31178755	31250903	BLOCK_0000035	0	+	0	0	221,136,136
chr9	86262353	86334070	BLOCK_0000036	0	+	0	0	232,90,90
chr9	76300737	76371678	BLOCK_0000037	0	+	0	0	243,45,45
chr9	108455088	108525698	BLOCK_0000038	0	+	0	0	238,68,68
chr9	106893334	106962798	BLOCK_0000039	0	+	0	0	232,90,90
chr9	102664016	102733298	BLOCK_0000040	0	+	0	0	238,68,68
chr9	124002319	124069815	BLOCK_0000041	0	+	0	0	238,68,68
chr9	125951448	126018715	BLOCK_0000042	0	+	0	0	243,45,45
chr9	30752375	30819576	BLOCK_0000043	0	+	0	0	238,68,68
chr9	103625940	103693062	BLOCK_0000044	0	+	0	0	238,68,68
chr9	76984553	77051627	BLOCK_0000045	0	+	0	0	243,45,45
chr9	75979546	76046469	BLOCK_0000046	0	+	0	0	238,68,68
chr9	119310066	119376897	BLOCK_0000047	0	+	0	0	232,90,90
chr9	101933510	102000007	BLOCK_0000048	0	+	0	0	232,90,90
chr9	123665297	123731408	BLOCK_0000049	0	+	0	0	243,45,45
chr9	24368129	24434206	BLOCK_0000050	0	+	0	0	238,68,68
chr9	96506756	96572669	BLOCK_0000051	0	+	0	0	238,68,68
chr9	90958856	91024421	BLOCK_0000052	0	+	0	0	243,45,45
chr9	127900996	127966470	BLOCK_0000053	0	+	0	0	238,68,68
chr9	21714920	21780251	BLOCK_0000054	0	+	0	0	226,113,113
chr9	134047972	134112578	BLOCK_0000055	0	+	0	0	238,68,68
chr9	120667668	120731078	BLOCK_0000056	0	+	0	0	232,90,90
chr9	79838334	79901703	BLOCK_0000057	0	+	0	0	238,68,68
chr9	105268748	105331431	BLOCK_0000058	0	+	0	0	243,45,45
chr9	112458102	112519888	BLOCK_0000059	0	+	0	0	238,68,68
chr9	91921455	91983134	BLOCK_0000060	0	+	0	0	243,45,45
chr9	107331334	107392845	BLOCK_0000061	0	+	0	0	232,90,90
chr9	125878958	125940391	BLOCK_0000062	0	+	0	0	249,22,22
chr9	130028407	130089783	BLOCK_0000063	0	+	0	0	238,68,68
chr9	5003338	5064548	BLOCK_0000064	0	+	0	0	232,90,90
chr9	28895476	28955771	BLOCK_0000065	0	+	0	0	238,68,68
chr9	115035865	115095743	BLOCK_0000066	0	+	0	0	232,90,90
chr9	36576476	36636227	BLOCK_0000067	0	+	0	0	243,45,45
chr9	85604085	85663674	BLOCK_0000068	0	+	0	0	238,68,68
chr9	73313550	73372830	BLOCK_0000069	0	+	0	0	255,0,0
chr9	31434877	31494101	BLOCK_0000070	0	+	0	0	243,45,45
chr9	109036966	109095995	BLOCK_0000071	0	+	0	0	238,68,68
chr9	33237735	33296723	BLOCK_0000072	0	+	0	0	243,45,45
chr9	100422027	100480953	BLOCK_0000073	0	+	0	0	243,45,45
chr9	75235239	75293887	BLOCK_0000074	0	+	0	0	243,45,45
chr9	85046406	85104689	BLOCK_0000075	0	+	0	0	243,45,45
chr9	93458980	93516892	BLOCK_0000076	0	+	0	0	238,68,68
chr9	97602641	97660413	BLOCK_0000077	0	+	0	0	243,45,45
chr9	37945506	38003124	BLOCK_0000078	0	+	0	0	232,90,90
chr9	101868075	101925077	BLOCK_0000079	0	+	0	0	243,45,45
chr9	88869630	88926377	BLOCK_0000080	0	+	0	0	243,45,45
chr9	88259353	88315977	BLOCK_0000081	0	+	0	0	238,68,68
chr9	34289886	34346282	BLOCK_0000082	0	+	0	0	238,68,68
chr9	111311389	111367630	BLOCK_0000083	0	+	0	0	243,45,45
chr9	94988863	95044339	BLOCK_0000084	0	+	0	0	243,45,45
chr9	128684577	128739400	BLOCK_0000085	0	+	0	0	243,45,45
chr9	124777877	124832292	BLOCK_0000086	0	+	0	0	238,68,68
chr9	37809900	37864262	BLOCK_0000087	0	+	0	0	238,68,68
chr9	121585899	121640251	BLOCK_0000088	0	+	0	0	243,45,45
chr9	37321021	37374976	BLOCK_0000089	0	+	0	0	243,45,45
chr9	29100354	29154239	BLOCK_0000090	0	+	0	0	238,68,68
chr9	102776091	102829344	BLOCK_0000091	0	+	0	0	243,45,45
chr9	127624679	127677918	BLOCK_0000092	0	+	0	0	243,45,45
chr9	103276155	103329256	BLOCK_0000093	0	+	0	0	243,45,45
chr9	91049499	91102229	BLOCK_0000094	0	+	0	0	243,45,45
chr9	131868991	131921668	BLOCK_0000095	0	+	0	0	243,45,45
chr9	13120677	13173244	BLOCK_0000096	0	+	0	0	243,45,45
chr9	30219114	30271609	BLOCK_0000097	0	+	0	0	249,22,22
chr9	32965871	33018190	BLOCK_0000098	0	+	0	0	238,68,68
chr9	94266286	94318222	BLOCK_0000099	0	+	0	0	243,45,45
chr9	86483980	86535730	BLOCK_0000100	0	+	0	0	243,45,45
chr9	125820080	125871538	BLOCK_0000101	0	+	0	0	249,22,22
chr9	97544084	97595143	BLOCK_0000102	0	+	0	0	243,45,45
chr9	126610475	126660921	BLOCK_0000103	0	+	0	0	249,22,22
chr9	88928098	88978488	BLOCK_0000104	0	+	0	0	243,45,45
chr9	11277143	11327124	BLOCK_0000105	0	+	0	0	243,45,45
chr9	96730732	96780650	BLOCK_0000106	0	+	0	0	243,45,45
chr9	74123164	74172702	BLOCK_0000107	0	+	0	0	243,45,45
chr9	35361228	35410695	BLOCK_0000108	0	+	0	0	243,45,45
chr9	44009172	44058609	BLOCK_0000109	0	+	0	0	255,0,0
chr9	80849929	80899335	BLOCK_0000110	0	+	0	0	243,45,45
chr9	11728856	11777728	BLOCK_0000111	0	+	0	0	232,90,90
chr9	73965281	74014026	BLOCK_0000112	0	+	0	0	243,45,45
chr9	86562689	86611406	BLOCK_0000113	0	+	0	0	243,45,45
chr9	107190595	107238948	BLOCK_0000114	0	+	0	0	243,45,45
chr9	30144500	30192833	BLOCK_0000115	0	+	0	0	243,45,45
chr9	17267583	17315854	BLOCK_0000116	0	+	0	0	238,68,68
chr9	30658900	30706921	BLOCK_0000117	0	+	0	0	243,45,45
chr9	127450571	127498374	BLOCK_0000118	0	+	0	0	249,22,22
chr9	110767478	110814936	BLOCK_0000119	0	+	0	0	243,45,45
chr9	87009009	87056301	BLOCK_0000120	0	+	0	0	249,22,22
chr9	106081379	106128528	BLOCK_0000121	0	+	0	0	249,22,22
chr9	113368784	113415725	BLOCK_0000122	0	+	0	0	243,45,45
chr9	80664460	80710910	BLOCK_0000123	0	+	0	0	243,45,45
chr9	129897994	129944370	BLOCK_0000124	0	+	0	0	249,22,22
chr9	22242481	22288827	BLOCK_0000125	0	+	0	0	243,45,45
chr9	111082321	111128578	BLOCK_0000126	0	+	0	0	243,45,45
chr9	123888242	123934463	BLOCK_0000127	0	+	0	0	243,45,45
chr9	87363201	87409367	BLOCK_0000128	0	+	0	0	249,22,22
chr9	123792005	123837902	BLOCK_0000129	0	+	0	0	243,45,45
chr9	111721054	111766790	BLOCK_0000130	0	+	0	0	243,45,45
chr9	83285498	83331055	BLOCK_0000131	0	+	0	0	232,90,90
chr9	24671602	24717136	BLOCK_0000132	0	+	0	0	243,45,45
chr9	29026189	29071630	BLOCK_0000133	0	+	0	0	238,68,68
chr9	103191461	103236830	BLOCK_0000134	0	+	0	0	243,45,45
chr9	11577278	11622644	BLOCK_0000135	0	+	0	0	243,45,45
chr9	93999841	94044770	BLOCK_0000136	0	+	0	0	249,22,22
chr9	99234329	99279162	BLOCK_0000137	0	+	0	0	249,22,22
chr9	108552542	108597329	BLOCK_0000138	0	+	0	0	243,45,45
chr9	117581178	117625899	BLOCK_0000139	0	+	0	0	249,22,22
chr9	76371831	76416458	BLOCK_0000140	0	+	0	0	238,68,68
chr9	105862560	105906758	BLOCK_0000141	0	+	0	0	243,45,45
chr9	72859841	72903990	BLOCK_0000142	0	+	0	0	243,45,45
chr9	31124318	31168055	BLOCK_0000143	0	+	0	0	226,113,113
chr9	103015018	103058699	BLOCK_0000144	0	+	0	0	243,45,45
chr9	94087793	94131447	BLOCK_0000145	0	+	0	0	249,22,22
chr9	87651069	87694454	BLOCK_0000146	0	+	0	0	243,45,45
chr9	30287536	30330623	BLOCK_0000147	0	+	0	0	243,45,45
chr9	120549184	120592191	BLOCK_0000148	0	+	0	0	243,45,45
chr9	87745073	87787977	BLOCK_0000149	0	+	0	0	243,45,45
chr9	37764219	37807061	BLOCK_0000150	0	+	0	0	249,22,22
chr9	105449758	105492552	BLOCK_0000151	0	+	0	0	238,68,68
chr9	31889142	31931839	BLOCK_0000152	0	+	0	0	249,22,22
chr9	135711451	135754010	BLOCK_0000153	0	+	0	0	249,22,22
chr9	104105127	104147575	BLOCK_0000154	0	+	0	0	243,45,45
chr9	36650656	36693036	BLOCK_0000155	0	+	0	0	243,45,45
chr9	32614523	32656798	BLOCK_0000156	0	+	0	0	249,22,22
chr9	5206800	5248827	BLOCK_0000157	0	+	0	0	249,22,22
chr9	131368787	131410669	BLOCK_0000158	0	+	0	0	243,45,45
chr9	129677843	129719650	BLOCK_0000159	0	+	0	0	243,45,45
chr9	115199735	115241398	BLOCK_0000160	0	+	0	0	243,45,45
chr9	73146782	73188366	BLOCK_0000161	0	+	0	0	243,45,45
chr9	121899097	121940490	BLOCK_0000162	0	+	0	0	249,22,22
chr9	117878911	117920248	BLOCK_0000163	0	+	0	0	243,45,45
chr9	112325051	112366232	BLOCK_0000164	0	+	0	0	238,68,68
chr9	87954835	87995971	BLOCK_0000165	0	+	0	0	249,22,22
chr9	29372501	29413550	BLOCK_0000166	0	+	0	0	243,45,45
chr9	22084310	22125347	BLOCK_0000167	0	+	0	0	243,45,45
chr9	22290420	22331418	BLOCK_0000168	0	+	0	0	238,68,68
chr9	139334300	139374952	BLOCK_0000169	0	+	0	0	249,22,22
chr9	138818357	138858863	BLOCK_0000170	0	+	0	0	243,45,45
chr9	98209594	98249963	BLOCK_0000171	0	+	0	0	243,45,45
chr9	5072798	5113087	BLOCK_0000172	0	+	0	0	243,45,45
chr9	116069252	116109341	BLOCK_0000173	0	+	0	0	249,22,22
chr9	25364321	25404131	BLOCK_0000174	0	+	0	0	243,45,45
chr9	102283356	102323001	BLOCK_0000175	0	+	0	0	249,22,22
chr9	116169068	116208321	BLOCK_0000176	0	+	0	0	249,22,22
chr9	114163257	114202502	BLOCK_0000177	0	+	0	0	243,45,45
chr9	123464804	123503887	BLOCK_0000178	0	+	0	0	249,22,22
chr9	83533451	83572488	BLOCK_0000179	0	+	0	0	249,22,22
chr9	79922010	79961021	BLOCK_0000180	0	+	0	0	243,45,45
chr9	72917810	72956697	BLOCK_0000181	0	+	0	0	243,45,45
chr9	80327434	80366259	BLOCK_0000182	0	+	0	0	249,22,22
chr9	30825999	30864788	BLOCK_0000183	0	+	0	0	243,45,45
chr9	126355960	126394637	BLOCK_0000184	0	+	0	0	249,22,22
chr9	104873513	104912174	BLOCK_0000185	0	+	0	0	243,45,45
chr9	87533427	87571959	BLOCK_0000186	0	+	0	0	249,22,22
chr9	21862549	21900977	BLOCK_0000187	0	+	0	0	243,45,45
chr9	126237518	126275829	BLOCK_0000188	0	+	0	0	249,22,22
chr9	14993197	15031488	BLOCK_0000189	0	+	0	0	243,45,45
chr9	113190709	113228823	BLOCK_0000190	0	+	0	0	249,22,22
chr9	121279366	121317206	BLOCK_0000191	0	+	0	0	243,45,45
chr9	10803707	10841350	BLOCK_0000192	0	+	0	0	243,45,45
chr9	32064955	32102567	BLOCK_0000193	0	+	0	0	238,68,68
chr9	88317287	88354885	BLOCK_0000194	0	+	0	0	249,22,22
chr9	34782550	34820094	BLOCK_0000195	0	+	0	0	249,22,22
chr9	76120596	76158138	BLOCK_0000196	0	+	0	0	249,22,22
chr9	107009194	107046681	BLOCK_0000197	0	+	0	0	249,22,22
chr9	103878601	103915950	BLOCK_0000198	0	+	0	0	249,22,22
chr9	114964558	115001674	BLOCK_0000199	0	+	0	0	249,22,22
chr9	112196776	112233852	BLOCK_0000200	0	+	0	0	243,45,45
chr9	135170647	135207692	BLOCK_0000201	0	+	0	0	243,45,45
chr9	135546985	135583997	BLOCK_0000202	0	+	0	0	243,45,45
chr9	17053484	17090173	BLOCK_0000203	0	+	0	0	243,45,45
chr9	3430405	3466937	BLOCK_0000204	0	+	0	0	243,45,45
chr9	37230844	37267302	BLOCK_0000205	0	+	0	0	249,22,22
chr9	100670802	100707255	BLOCK_0000206	0	+	0	0	249,22,22
chr9	11478949	11515323	BLOCK_0000207	0	+	0	0	243,45,45
chr9	36532664	36568973	BLOCK_0000208	0	+	0	0	243,45,45
chr9	125782399	125818602	BLOCK_0000209	0	+	0	0	249,22,22
chr9	68391338	68427479	BLOCK_0000210	0	+	0	0	255,0,0
chr9	99792208	99828214	BLOCK_0000211	0	+	0	0	249,22,22
chr9	136231553	136267471	BLOCK_0000212	0	+	0	0	243,45,45
chr9	106742990	106778807	BLOCK_0000213	0	+	0	0	249,22,22
chr9	118919075	118954834	BLOCK_0000214	0	+	0	0	249,22,22
chr9	103693112	103728810	BLOCK_0000215	0	+	0	0	249,22,22
chr9	118606091	118641762	BLOCK_0000216	0	+	0	0	243,45,45
chr9	74751599	74787205	BLOCK_0000217	0	+	0	0	249,22,22
chr9	127724524	127760098	BLOCK_0000218	0	+	0	0	249,22,22
chr9	134848815	134884054	BLOCK_0000219	0	+	0	0	249,22,22
chr9	100634579	100669799	BLOCK_0000220	0	+	0	0	243,45,45
chr9	91863672	91898790	BLOCK_0000221	0	+	0	0	249,22,22
chr9	122629352	122664468	BLOCK_0000222	0	+	0	0	249,22,22
chr9	75573592	75608626	BLOCK_0000223	0	+	0	0	249,22,22
chr9	109589226	109624255	BLOCK_0000224	0	+	0	0	249,22,22
chr9	120623777	120658793	BLOCK_0000225	0	+	0	0	249,22,22
chr9	24017964	24052957	BLOCK_0000226	0	+	0	0	249,22,22
