track name="1000G,CEPH,WP" description="Data: 1000 Genomes Project phase 1 release 3; Population: CEPH; D' CI method: WP; High LD SNPs proportion: 95%" itemRgb="on"
chr3	138349332	138521679	BLOCK_0000001	0	+	0	0	221,136,136
chr3	127870929	128038689	BLOCK_0000002	0	+	0	0	232,90,90
chr3	101029149	101169887	BLOCK_0000003	0	+	0	0	226,113,113
chr3	195026078	195163917	BLOCK_0000004	0	+	0	0	221,136,136
chr3	154269907	154406314	BLOCK_0000005	0	+	0	0	226,113,113
chr3	130362816	130499149	BLOCK_0000006	0	+	0	0	232,90,90
chr3	82023704	82156952	BLOCK_0000007	0	+	0	0	226,113,113
chr3	132925993	133059098	BLOCK_0000008	0	+	0	0	226,113,113
chr3	148000849	148132516	BLOCK_0000009	0	+	0	0	232,90,90
chr3	95146681	95273342	BLOCK_0000010	0	+	0	0	221,136,136
chr3	158047753	158172379	BLOCK_0000011	0	+	0	0	221,136,136
chr3	160070064	160191236	BLOCK_0000012	0	+	0	0	232,90,90
chr3	96560516	96679063	BLOCK_0000013	0	+	0	0	238,68,68
chr3	167334225	167452504	BLOCK_0000014	0	+	0	0	226,113,113
chr3	139058211	139176109	BLOCK_0000015	0	+	0	0	226,113,113
chr3	99559854	99675181	BLOCK_0000016	0	+	0	0	238,68,68
chr3	135668836	135779348	BLOCK_0000017	0	+	0	0	232,90,90
chr3	163412021	163522492	BLOCK_0000018	0	+	0	0	226,113,113
chr3	52269491	52378540	BLOCK_0000019	0	+	0	0	238,68,68
chr3	157925551	158034089	BLOCK_0000020	0	+	0	0	226,113,113
chr3	52080970	52188308	BLOCK_0000021	0	+	0	0	232,90,90
chr3	80541785	80648698	BLOCK_0000022	0	+	0	0	221,136,136
chr3	145067298	145173328	BLOCK_0000023	0	+	0	0	221,136,136
chr3	37101519	37206586	BLOCK_0000024	0	+	0	0	238,68,68
chr3	58360327	58465183	BLOCK_0000025	0	+	0	0	226,113,113
chr3	167801438	167903833	BLOCK_0000026	0	+	0	0	232,90,90
chr3	134191303	134293291	BLOCK_0000027	0	+	0	0	221,136,136
chr3	36556806	36658531	BLOCK_0000028	0	+	0	0	226,113,113
chr3	119690704	119790712	BLOCK_0000029	0	+	0	0	238,68,68
